"opportunity_id","opportunity_name","category","opportunity_code","tracking_questions"
"Opportunity#000000000G4KVEP36NNJR5YWTJ","Project Management","Internship","I584159",NULL
"Opportunity#000000000GN2A0AY7XK8C5FZPP","Career Essentials: Getting Started with Your Professional Journey","Course","U533812","[{""code"": ""QBWTGGT"", ""ans_type"": ""boolean"", ""question"": ""All deliverables submitted"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}]"
"Opportunity#000000123GSC2DE9P9BZYJM2JN","Project Management","Internship","I172603",NULL
"Opportunity#000012345GEHAHYHGRSY59TR1D","Illinois Tech Talks: Understanding the Common App","Event","E443361",NULL
"Opportunity#0000000010YG854176Y11E2GZZ","Social Impact Initiative","Event","EJF9HVR","[{""code"": ""QD6UTGF"", ""ans_type"": ""boolean"", ""question"": ""Submitted Reflection and Feedback"", ""is_frozen"": ""false"", ""serial_number"": ""2"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QUG3WXG"", ""ans_type"": ""boolean"", ""question"": ""Submitted Deliverables"", ""is_frozen"": ""false"", ""serial_number"": ""1"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QSNB4K2"", ""ans_type"": ""string"", ""question"": ""Additional Notes"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""false""}]"
"Opportunity#0000000010NQ273YXVEPW10WA3","Mastering Cybersecurity: Safeguarding Confidentiality and Integrity","Masterclass","S667YXU","[{""code"": ""QIP4ZLJ"", ""ans_type"": ""boolean"", ""question"": ""Submitted Deliverables ?"", ""is_frozen"": ""false"", ""serial_number"": ""1"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QVMU02O"", ""ans_type"": ""boolean"", ""question"": ""Submitted Reflective Video ?"", ""is_frozen"": ""false"", ""serial_number"": ""2"", ""is_required_for_badge_award"": ""true""}, {""code"": ""Team"", ""ans_type"": ""string"", ""question"": ""Group Info"", ""is_frozen"": ""false"", ""serial_number"": ""0"", ""is_required_for_badge_award"": ""false""}, {""code"": ""Q3HVJXM"", ""ans_type"": ""string"", ""question"": ""Additional Notes"", ""is_frozen"": ""false"", ""serial_number"": ""1"", ""is_required_for_badge_award"": ""false""}]"
"Opportunity#00000000102S9XBS7SM4KB0Q57","Secrets to Operational Excellence Course","Course","URMUHH7","[{""code"": ""QPPQPNE"", ""ans_type"": ""boolean"", ""question"": ""Submitted deliverables?"", ""is_frozen"": ""false"", ""serial_number"": ""1"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QHOKKJX"", ""ans_type"": ""boolean"", ""question"": ""Submitted reflection and Feedback"", ""is_frozen"": ""false"", ""serial_number"": ""2"", ""is_required_for_badge_award"": ""true""}, {""code"": ""Team"", ""ans_type"": ""string"", ""question"": ""Group Info"", ""is_frozen"": ""false"", ""serial_number"": ""0"", ""is_required_for_badge_award"": ""false""}, {""code"": ""QIOUQX0"", ""ans_type"": ""string"", ""question"": ""Additional Notes"", ""is_frozen"": ""false"", ""serial_number"": ""1"", ""is_required_for_badge_award"": ""false""}]"
"Opportunity#0000000010ZD999CQGMHN6VAHT","Full Stack Developer","Career","AQ2IKRJ",NULL
"Opportunity#00000000102KVCRYDH806VMN7E","Cook a Tale","Competition","MVT6H0L",NULL
"Opportunity#0000000010WCBS50CYGDX97ES4","CPR/AED Certification","Course","USNZAI6","[{""code"": ""QPMHET9"", ""ans_type"": ""boolean"", ""question"": ""Submitted reflective video"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}, {""code"": ""Q7MYKGY"", ""ans_type"": ""boolean"", ""question"": ""Quiz: scored 12 or above"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}]"
"Opportunity#000000000GTRRM5R3WJ5660XBF","Esports and game design","Internship","I545663",NULL
"Opportunity#0000000010QWPYTTCJCX7VQBTT","Join a Student Organisation","Engagement","N1RT9H4","[{""code"": ""Q1FSCVF"", ""ans_type"": ""boolean"", ""question"": ""Submitted Deliverables"", ""is_frozen"": ""false"", ""serial_number"": ""1"", ""is_required_for_badge_award"": ""true""}]"
"Opportunity#000000000GRABD28CXVVEYEX21","Health Care Management","Internship","I766853","[{""code"": ""Q8CO9Y9"", ""ans_type"": ""boolean"", ""question"": ""Week 1 Active"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QZ1KLSM"", ""ans_type"": ""boolean"", ""question"": ""Attended Orientation"", ""is_frozen"": ""false""}, {""code"": ""QYY8CJ2"", ""ans_type"": ""boolean"", ""question"": ""Week 2 Active"", ""is_frozen"": ""false""}, {""code"": ""Q0TJ0Y8"", ""ans_type"": ""boolean"", ""question"": ""Week 3 Active"", ""is_frozen"": ""false""}, {""code"": ""QQIBCYT"", ""ans_type"": ""boolean"", ""question"": ""Week 4 Active"", ""is_frozen"": ""false""}, {""code"": ""QCY41VH"", ""ans_type"": ""boolean"", ""question"": ""Submitted Reflective Video"", ""is_frozen"": ""false""}, {""code"": ""QKQ0A92"", ""ans_type"": ""boolean"", ""question"": ""Submitted Feedback Form"", ""is_frozen"": ""false""}, {""code"": ""Q7E8MDN"", ""ans_type"": ""boolean"", ""question"": ""Dropped Out"", ""is_frozen"": ""false""}, {""code"": ""QNO3XCQ"", ""ans_type"": ""boolean"", ""question"": ""Week 1 Active"", ""is_frozen"": ""false""}]"
"Opportunity#000000001008QGDVY12NQ3R13E","Storysprint Empower Impactful Narratives","Competition","M3AGXCB","[{""code"": ""QBAE71I"", ""ans_type"": ""boolean"", ""question"": ""Submitted Deliverables"", ""is_frozen"": ""false"", ""serial_number"": ""1"", ""is_required_for_badge_award"": ""true""}, {""code"": ""Q0T17EF"", ""ans_type"": ""boolean"", ""question"": ""Submitted Reflection and Feedback"", ""is_frozen"": ""false"", ""serial_number"": ""2"", ""is_required_for_badge_award"": ""true""}, {""code"": ""Q4NPRJF"", ""ans_type"": ""string"", ""question"": ""Additional Notes"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""false""}]"
"Opportunity#00000000100BRZP6S5NA4Y05G3","Verses: A Poetry Writing Competition","Competition","MFZRYI1","[{""code"": ""QJWK75I"", ""ans_type"": ""boolean"", ""question"": ""Deliverable Submitted"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QYSUYES"", ""ans_type"": ""boolean"", ""question"": ""Reflective Video Submitted"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}]"
"Opportunity#00000000100JPM3A0WJ85T68M5","Jump Start: Developing your Emotional Intelligence","Course","URFOJWP","[{""code"": ""QYUK2MZ"", ""ans_type"": ""boolean"", ""question"": ""Deliverables Submitted"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}, {""code"": ""Q0DVFJU"", ""ans_type"": ""boolean"", ""question"": ""Feedback Submitted"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QRO4QSX"", ""ans_type"": ""boolean"", ""question"": ""Reflection Submitted"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}, {""code"": ""Q6N6DZF"", ""ans_type"": ""string"", ""question"": ""Additional Notes"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""false""}]"
"Opportunity#0000000010SGKP2H97KF7EJ5X6","Career Accelerator Workshop","Event","E3KTHCW","[{""code"": ""Q9MYSZA"", ""ans_type"": ""boolean"", ""question"": ""Attended Workshop"", ""is_frozen"": ""false"", ""serial_number"": ""1"", ""is_required_for_badge_award"": ""false""}, {""code"": ""QF4ASMZ"", ""ans_type"": ""boolean"", ""question"": ""Submitted Deliverables"", ""is_frozen"": ""false"", ""serial_number"": ""2"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QSG9RS0"", ""ans_type"": ""boolean"", ""question"": ""Submitted Feedback and Reflection"", ""is_frozen"": ""false"", ""serial_number"": ""3"", ""is_required_for_badge_award"": ""false""}, {""code"": ""Q484HKF"", ""ans_type"": ""string"", ""question"": ""Additional Notes"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""false""}]"
"Opportunity#000000001041V3K3YZTSZY68T7","Storytelling Through Digital Innovation Challenge","Competition","MDL3K7I","[{""code"": ""QTN89KX"", ""ans_type"": ""boolean"", ""question"": ""Sumitted Deliverable"", ""is_frozen"": ""false"", ""serial_number"": ""1"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QII6RUV"", ""ans_type"": ""boolean"", ""question"": ""Submitted Reflection and Feedback"", ""is_frozen"": ""false"", ""serial_number"": ""2"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QEYFRXR"", ""ans_type"": ""string"", ""question"": ""Additional Notes"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""false""}]"
"Opportunity#00000000108KF6CFBE1S0JHYYG","Mental Health First Aid Workshop","Event","E6BWMDE",NULL
"Opportunity#000000001098KY7BZFZ43NAVFX","The Brand Booster Challenge","Competition","M9MH7CS",NULL
